team,year,host,confederation,elo_rating,win_percentage_since_last_cup,goals_scored_per_game,goals_conceded_per_game,points_per_game,previous_wc_finish,finish_stage
Austria,2014,0,UEFA,1662.0,0.38,1.48,1.41,1.1,1.0,1.0
Belgium,2014,0,UEFA,1835.0,0.52,1.65,0.94,1.87,1.0,4.0
Bosnia and Herzegovina,2014,0,UEFA,1783.0,0.55,1.93,1.03,1.79,1.0,2.0
Croatia,2014,0,UEFA,1806.0,0.5,1.5,0.97,1.74,1.0,2.0
Czech Republic,2014,0,UEFA,1728.0,0.43,1.34,1.0,1.54,1.0,1.0
England,2014,0,UEFA,1933.0,0.56,2.03,1.0,1.97,3.0,2.0
France,2014,0,UEFA,1901.0,0.51,1.49,0.74,1.82,2.0,4.0
Germany,2014,0,UEFA,2086.0,0.67,2.64,1.38,2.18,5.0,7.0
Netherlands,2014,0,UEFA,2003.0,0.56,2.44,0.92,1.92,6.0,5.0
Norway,2014,0,UEFA,1614.0,0.35,1.06,1.21,1.26,1.0,1.0
Portugal,2014,0,UEFA,1931.0,0.56,1.89,1.14,1.83,3.0,2.0
Scotland,2014,0,UEFA,1698.0,0.46,1.21,1.21,1.57,1.0,1.0
Spain,2014,0,UEFA,2103.0,0.8,2.64,0.78,2.51,7.0,2.0
Sweden,2014,0,UEFA,1826.0,0.6,2.09,1.3,1.93,1.0,1.0
Switzerland,2014,0,UEFA,1847.0,0.56,1.52,0.89,1.96,2.0,3.0
Turkey,2014,0,UEFA,1712.0,0.47,1.5,1.16,1.66,1.0,1.0
Argentina,2014,0,CONMEBOL,2037.0,0.55,2.07,1.11,1.93,4.0,6.0
Brazil,2014,1,CONMEBOL,2132.0,0.65,2.25,0.81,2.12,4.0,5.0
Colombia,2014,0,CONMEBOL,1933.0,0.61,1.55,0.61,2.0,1.0,4.0
Ecuador,2014,0,CONMEBOL,1836.0,0.42,1.63,1.13,1.58,1.0,2.0
Paraguay,2014,0,CONMEBOL,1712.0,0.4,1.55,1.5,1.45,4.0,1.0
Uruguay,2014,0,CONMEBOL,1915.0,0.49,1.93,1.37,1.72,5.0,3.0
Algeria,2014,0,CAF,1583.0,0.62,1.54,0.85,2.0,2.0,3.0
Cabo Verde,2014,0,CAF,1507.0,0.44,1.39,1.06,1.56,1.0,1.0
Congo DR,2014,0,CAF,1447.0,0.4,1.44,0.8,1.56,1.0,1.0
Ivory Coast,2014,0,CAF,1774.0,0.72,2.53,1.16,2.34,2.0,2.0
Egypt,2014,0,CAF,1669.0,0.59,2.0,1.12,1.93,1.0,1.0
Ghana,2014,0,CAF,1697.0,0.54,1.89,0.97,1.81,4.0,2.0
Morocco,2014,0,CAF,1542.0,0.42,1.55,0.95,1.58,1.0,1.0
Senegal,2014,0,CAF,1524.0,0.36,1.2,0.96,1.32,1.0,1.0
South Africa,2014,0,CAF,1573.0,0.42,1.29,0.74,1.58,2.0,1.0
Tunisia,2014,0,CAF,1579.0,0.41,1.62,1.15,1.56,1.0,1.0
Canada,2014,0,CONCACAF,1489.0,0.29,0.97,1.15,1.15,1.0,1.0
Mexico,2014,0,CONCACAF,1769.0,0.55,1.76,0.87,1.85,3.0,3.0
USA,2014,0,CONCACAF,1861.0,0.58,1.7,1.06,1.92,3.0,3.0
Curacao,2014,0,CONCACAF,1083.0,0.18,1.41,2.24,0.65,1.0,1.0
